2025-07-15 09:08:37,817 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-07-15 09:08:39,633 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-07-15 09:08:51,091 - INFO - Phone migrated to 4
2025-07-15 09:08:51,267 - INFO - Reconnecting to new data center 4
2025-07-15 09:08:51,467 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-15 09:08:51,468 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-15 09:08:51,468 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 09:08:53,105 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 09:09:05,853 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:07,047 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:07,603 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:07,856 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:08,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:08,891 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:09,280 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:09,481 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:09,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:10,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:10,507 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:11,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:11,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:12,066 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:12,458 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:12,791 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:13,441 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:13,691 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:13,973 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:14,243 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:14,460 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:14,688 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:15,037 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:15,860 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:16,632 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:16,986 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:17,900 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:18,191 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:18,543 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:18,955 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:19,372 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:19,900 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:20,220 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:20,632 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:21,004 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:21,264 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:21,510 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:21,714 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:22,062 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:22,355 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:22,588 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:22,900 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:23,207 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:23,400 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:23,793 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:24,331 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:24,581 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
